image_paths,text
SK-A-3292.jpg,Portrait of Joris W. Vezeler (Vezelaer) putting on a glove.
SK-A-4212.jpg,"Le voeu du faisan, the banquet or feast of the Pheasant. Philip the Good and Isabella de Bourbon attended a banquet given on 17 February 1454 by Madame dEstampes at the Château de Rihour in Lille on the occasion of their solemn oath to embark on a crusade to reconquer the Holy Land. To the right a set table, in the background two musicians. The invitees carry flaming torches. Late copy to an unknown original"
SK-A-1706.jpg,"Portrait of Herman van der Hem van Nederstein (d. 1671), regent of the Almoezenierskamer in Utrecht (1645-46). Half-length to the right, top right the family coat of arms."
SK-A-2992.jpg,"Portrait of the painter Ludwig Casimir (Louis) Graceful. Bust, in profile to the right, with cap on head and pipe in mouth."
SK-A-90.jpg,"Portrait of a married couple in a landscape. On the left a dog, on the right a capital with a mans head (a self-portrait by Gerard Dou?). The couple originally stood in an interior, which was later painted over by Berchem with a landscape."
SK-A-611.jpg,"Half-length portrait of Margaretha de Geer, wife of Jacob Trip, with a large lace collar and a black cap on the head."
SK-A-1638.jpg,Portrait of a painter. Standing in an arch with a painting depicting Neptune in his hands.
SK-A-4025.jpg,"View of the front of the heavily damaged country house in Buitenzorg after the earthquake of October 10, 1834. Natives run frightened across the lawn, on the left a group of fleeing deer. In the foreground, Mrs. Baud-Van Braam is being cared for. Pendant of SK-A-4024."
SK-A-3799.jpg,"Portrait of Jean Chrétien Baud (1789-1859). Governor General ad interim (1833-35). Knee piece, sitting in a chair to the left, the face and face. In the right hand a folded letter. On the left, behind a garden vase, a view of a landscape with the Buitenzorg palace on Java. Part of a series of portraits of the governors-general of the former Dutch East Indies."
SK-A-4411.jpg,"Portrait of Christina (1616-62), Queen of Sweden. Bust, facing. Formerly interpreted as a portrait of a woman, presumably Françoise dAubigny (1635-1719), Marchioness of Maintenon. Part of the portrait miniatures collection."
SK-A-2073.jpg,"Portrait of Margarita Courten, wife of Matthias Boudaen and Jean de Moncy. Standing, half-length, with the left hand on a table with a Persian rug on which a book lies. On the back the family coat of arms, an inscription and the number 43."
SK-A-375.jpg,"The breakfast. Interior with an old woman cutting bread for two children. On the right a table with bread, cheese and a piece of meat in a basket. On the floor is a book, on the left a chair with bobbin lace. A large framed print, a map or plan hangs on the wall."
SK-A-2653.jpg,"A blooming meadow, bordered in the distance by a row of birches."
SK-A-584.jpg,"Portrait of a woman, presumably Elsje van Houweningen, wife of Willem van de Velden. Half-length, standing next to a table on which lies a book, a small book open in the right hand. Pendant of SK-A-583."
SK-A-2125.jpg,"Portrait study of William I, King of the Netherlands. Sketch in which only the head is completed. Preliminary study for the portrait of 1816 for the Amsterdam city hall."
SK-A-4184.jpg,"Moses mother kneels by the rush basket in which she launches her son Moses. Next to her is Mirjam, Moses sister. On the left on the bank of the Nile is the daughter of Pharaoh with her entourage. She will find Moses. In the background, Hebrew babies are thrown into the Nile from the bridge."
