,words,x,y
0,shine,13.412946,3.0544028
1,pitti,13.0222,4.043951
2,aa,17.430515,3.7297626
3,wellesley,10.730038,3.3807552
4,bridgeman,9.590897,5.0041637
5,dating,15.093367,2.5720408
6,silk,14.894064,4.8102283
7,structure,17.51807,4.6653876
8,sicily,10.312075,2.3413959
9,dircksz,12.915915,2.5724006
10,columned,12.09003,5.2680387
11,copy,17.692389,4.246953
12,representatives,15.735791,0.9412273
13,spui,16.783287,4.5167365
14,pedestal,14.732062,0.6549943
15,wore,13.837541,4.9568887
16,portion,17.842787,4.8066287
17,grass,11.09259,5.7249756
18,woods,13.712515,7.2204037
19,printer,16.881447,3.4010844
20,fields,11.031422,5.5617504
21,seals,13.535144,5.6231675
22,tjalk,13.299968,3.117066
23,cheerful,13.324724,2.8158042
24,someren,12.094954,3.6633446
25,german,9.802107,2.8688788
26,parakeets,12.635861,7.4738307
27,apollo,12.547665,2.5418055
28,heralds,17.039963,4.449265
29,symbols,16.157534,3.1878302
30,circles,17.59461,4.0185328
31,women,12.873628,0.49292433
32,dike,11.66132,4.3291063
33,whirling,14.487196,3.9037402
34,poultry,12.6503105,7.389482
35,alte,15.452925,4.1202917
36,pickpocket,13.31339,3.1565478
37,prepares,15.862002,5.8407183
38,herepad,15.103975,4.502153
39,inland,16.291256,6.5217423
40,vincent,13.022398,2.2404187
41,ornamental,16.67648,4.0781345
42,approaches,16.04534,3.7845423
43,lawn,11.173629,5.708439
44,basket,16.616657,1.8033309
45,kingfisher,12.319295,5.9434857
46,cockatoo,12.672668,7.3773556
47,stirs,15.074521,4.440934
48,residing,12.006912,3.8617775
49,moon,12.883666,4.7668767
50,groom,13.196877,1.022594
51,theodoor,13.010386,2.0832956
52,biographical,16.182486,2.4829617
53,norway,9.3456335,2.94752
54,allaert,11.425147,5.092823
55,artist,16.88255,1.8570809
56,owned,17.264383,4.2245727
57,southern,14.196563,3.5200608
58,sijmen,15.8776455,3.0698423
59,outside,11.602302,5.0255785
60,warship,10.2807,4.9707723
61,betrayal,13.633958,2.3537178
62,vieux,15.373873,4.1953006
63,duchesse,12.332816,0.7884039
64,situation,17.587788,4.1470714
65,broom,14.0006075,5.345879
66,attempt,14.176792,2.349871
67,bench,15.66375,5.1414123
68,brederode,14.319792,3.7974873
69,stages,16.232151,3.6980655
70,schoterbosch,13.908013,7.169342
71,shelf,16.513454,3.2354286
72,burcht,12.165731,3.2478116
73,safety,15.122572,3.6088684
74,pie,14.799992,6.3835998
75,dousa,14.8393135,5.4791675
76,ruyters,15.15774,1.0650165
77,candlelit,12.8528,5.382977
78,henrik,12.310942,2.0493076
79,ring,14.029105,4.474955
80,turban,13.903266,4.346681
81,corsage,13.820572,4.517111
82,scattered,17.261925,5.0152273
83,piombo,13.822339,6.108116
84,viewer,17.179396,4.0624113
85,riverbank,10.761346,4.2405553
86,air,17.954977,4.097273
87,parasol,13.754755,5.0078845
88,checkered,15.488378,4.5828147
89,cauliflowers,14.494975,7.1875377
90,cuckoo,13.021339,6.5953283
91,riders,11.591564,6.7385583
92,jagged,12.892612,2.7497096
93,posed,11.910323,3.9107697
94,divided,15.365329,3.4864132
95,fills,14.869307,1.3854517
96,painters,17.735422,3.0922503
97,sickle,13.590187,6.130793
98,madelaine,14.347528,7.6420503
99,tunisian,10.335843,2.3909872
100,boyne,13.76477,4.514507
101,moroccan,10.389273,2.3699775
102,trijst,13.090643,2.7846222
103,clerk,12.861257,2.4836223
104,tip,16.237741,4.2194853
105,gestures,14.241195,4.4563923
106,concordia,12.334607,3.0747006
107,currants,16.93771,4.6065474
108,coal,14.007844,5.0156446
109,hangs,16.992235,4.9806256
110,sculptor,14.872764,0.63892615
111,rapid,15.547189,4.516479
112,flap,13.528869,3.2556386
113,scourer,13.067642,2.3094304
114,mast,11.998034,4.832851
115,necked,13.575323,4.3194685
116,strada,11.422629,3.7534888
117,old,17.35007,4.966155
118,money,15.101807,3.872731
119,ca,18.046862,4.8698
120,singing,16.998753,1.7817935
121,obersee,10.081578,3.5492165
122,jhr,12.101915,1.5136282
123,batavians,12.561885,3.2298167
124,crash,16.935215,5.0658064
125,lances,14.024692,5.5523624
126,codde,14.604099,2.411702
127,oranges,14.57571,7.064188
128,parrots,12.686946,7.4527183
129,rack,14.427818,4.3348083
130,wrapped,15.193562,4.7288914
131,casteleyn,10.724479,0.55284697
132,oriental,10.887139,2.8008268
133,niellius,12.452628,2.7098653
134,april,14.636198,2.3446183
135,alkmaar,10.261921,2.484548
136,overgrown,13.852598,7.1792684
137,spada,13.787707,5.780742
138,ship,10.312685,4.9524603
139,things,13.541879,2.1698706
140,alida,17.21479,5.553316
141,chained,13.695116,4.8344126
142,raised,15.530828,4.1139283
143,century,17.654669,4.63942
144,rijneveld,11.050492,5.651303
145,avenue,11.597514,3.604691
146,hornemann,13.074027,5.4737964
147,heavy,17.81253,5.0935974
148,moonlight,12.792695,4.8769956
149,eversdijck,13.35513,2.4167333
150,crib,15.252549,5.011448
151,vines,14.408301,6.5588155
152,martin,12.506308,1.7113627
153,accountant,16.638678,2.473065
154,homeri,14.252644,3.311953
155,clootwijck,14.562567,5.198257
156,belong,14.404552,2.6423478
157,horseback,11.605023,6.783999
158,guarding,14.835666,3.814581
159,entire,14.13184,2.5052464
160,climb,16.783117,5.140337
161,stable,11.457664,4.3357687
162,scheveningen,10.688998,3.171769
163,sealed,13.618631,5.6507
164,titled,17.88002,4.2468224
165,pancakes,14.783044,6.427602
166,cousin,16.817652,4.6062074
167,urban,10.854792,3.530817
168,sheikh,11.98518,1.7196734
169,luther,13.488831,0.88144594
170,examines,16.84902,2.2158656
171,playing,15.33815,2.4625273
172,baron,12.8876295,1.461468
173,sergeant,13.4278,1.504931
174,gourd,14.373672,6.840518
175,iskêléci,14.082816,3.50496
176,baring,14.069256,3.6387618
177,possessed,14.008209,2.5325263
178,arnauld,11.840013,2.5158808
179,few,14.998037,1.9806402
180,campaign,14.850032,2.2751267
181,january,15.481186,3.0613904
182,stall,16.224186,2.6687033
183,fore,17.493298,5.2323623
184,wijnands,14.62711,6.2000146
185,breastfeeding,14.765558,3.9408553
186,audran,14.057428,3.0490856
187,pipes,14.195986,5.326626
188,aniene,12.52703,2.8034215
189,panther,12.694896,6.3515286
190,desert,10.422313,4.1814456
191,impressive,16.030375,3.5701876
192,perspective,17.980873,4.34361
193,chariots,16.782469,6.2970076
194,earth,12.229818,4.056892
195,numbered,15.127285,2.0269272
196,vecht,15.414147,2.1063466
197,herald,15.265248,3.2603197
198,affairs,16.619555,2.645926
199,rolled,15.059589,4.740393
200,winghe,13.142519,5.7182794
201,barge,10.323511,4.8721952
202,consisted,16.674328,2.7827682
203,rutger,13.136028,2.1502218
204,early,17.203966,4.859241
205,moored,10.375069,4.4665246
206,breastfeeds,14.7614765,3.996482
207,provence,9.91814,2.4762037
208,albrecht,12.268105,2.2409067
209,aeneas,11.661941,2.3745766
210,today,15.801235,2.5439153
211,ancient,17.297886,4.6616373
212,strokes,16.855515,4.7916656
213,horstwaerde,11.505282,5.705298
214,mudden,11.06553,4.6874948
215,pietersdr,16.228132,4.7781224
216,bat,13.013036,6.1733403
217,lubbert,12.735059,2.9863772
218,shotgun,13.866328,5.5025268
219,ears,13.352359,4.645117
220,passion,14.304993,2.0288265
221,pleasure,17.878916,5.1346807
222,hermaphroditus,12.365533,2.1414247
223,huibert,12.512476,2.7140682
224,bottle,14.906236,5.79688
225,separate,17.902163,5.0409694
226,kolksluis,14.225724,4.579538
227,ground,12.097601,4.133653
228,mayen,11.721105,4.214819
229,campfire,12.727699,5.103514
230,series,17.111095,3.6941657
231,angelo,13.079683,5.65766
232,unveiling,16.00802,1.7903429
233,handkerchief,14.954404,4.830351
234,models,15.168046,1.2676904
235,windmill,12.964783,5.0382915
236,standard,14.209855,2.7858136
237,wicker,13.944071,5.514073
238,snuff,13.037032,2.7392607
239,jousting,14.490525,4.093891
240,trough,13.099187,2.7400217
241,pans,16.894644,4.8653865
242,pen,14.93207,4.8862357
243,sketching,17.827307,3.2169597
244,janus,12.7291565,6.0715218
245,quay,10.638958,4.3520722
246,soldier,14.618363,0.7242985
247,rights,15.050635,2.4422104
248,abcoude,11.8628025,2.5206647
249,gazebo,12.033839,4.747381
250,stomach,13.409496,4.8648534
251,sixth,13.936627,2.2557817
252,costume,14.737753,1.4416516
253,quinkhard,13.671851,3.6045334
254,hilly,13.216271,2.6785388
255,fight,15.39755,2.0825427
256,riemer,13.714583,4.5279007
257,bricks,11.199876,4.008654
258,bosphorus,16.47086,5.4327083
