,words
0,"portrait,joris,w.,vezeler,vezelaer,putting,glove"
1,"le,voeu,du,faisan,banquet,feast,pheasant,philip,good,isabella,bourbon,attended,banquet,given,february,madame,destampes,château,rihour,lille,occasion,solemn,oath,embark,crusade,reconquer,holy,land,right,set,table,background,musicians,invitees,carry,flaming,torches,late,copy,unknown,original"
2,"portrait,herman,van,der,hem,van,nederstein,d.,regent,almoezenierskamer,utrecht,half,length,right,top,right,family,coat,arms"
3,"portrait,painter,casimir,louis,graceful,bust,profile,right,cap,head,pipe,mouth"
4,"portrait,married,couple,landscape,left,dog,right,capital,mans,head,self,portrait,gerard,dou,couple,originally,stood,interior,later,painted,landscape"
5,"half,length,portrait,margaretha,de,geer,wife,jacob,trip,large,lace,collar,black,cap,head"
6,"portrait,painter,standing,arch,painting,depicting,neptune,hands"
7,"view,front,heavily,damaged,country,house,buitenzorg,earthquake,october,natives,run,frightened,lawn,left,group,fleeing,deer,foreground,mrs,.,baud,van,braam,cared,pendant,sk,a-4024"
8,"portrait,jean,chrétien,baud,governor,general,ad,interim,knee,piece,sitting,chair,left,face,face,right,hand,folded,letter,left,garden,vase,view,landscape,buitenzorg,palace,java,part,series,portraits,governors,general,former,dutch,east,indies"
9,"portrait,christina,queen,sweden,bust,facing,formerly,interpreted,portrait,woman,presumably,françoise,daubigny,marchioness,maintenon,part,portrait,miniatures,collection"
10,"portrait,margarita,courten,wife,matthias,boudaen,jean,moncy,standing,half,length,left,hand,table,persian,rug,book,lies,back,family,coat,arms,inscription,number"
11,"breakfast,interior,old,woman,cutting,bread,children,right,table,bread,cheese,piece,meat,basket,floor,book,left,chair,bobbin,lace,large,framed,print,map,plan,hangs,wall"
12,"blooming,meadow,bordered,distance,row,birches"
13,"portrait,woman,presumably,elsje,van,houweningen,wife,willem,van,half,length,standing,next,table,lies,book,small,book,open,right,hand,pendant,sk,a-583"
14,"portrait,study,william,i,king,netherlands,sketch,only,head,completed,preliminary,study,portrait,amsterdam,city,hall"
15,"moses,mother,kneels,rush,basket,launches,son,moses,next,mirjam,moses,sister,left,bank,nile,daughter,pharaoh,entourage,find,moses,background,hebrew,babies,thrown,nile,bridge"
16,"portrait,hortensia,del,prado,wife,jean,fourmenois,pieter,courten,bust,oval,large,lace,collar,back,family,arms,number"
17,"portrait,adriaen,paets,chosen,bust,oval,right,part,series,portraits,directors,rotterdam,chamber,dutch,east,india,company,made,nieuw,oost,indisch,huis,boompjes,rotterdam"
18,"portrait,woman,squirrel,silver,chain,knee,pad,standing,table,oriental,rug"
19,"mountainous,landscape,foreground,steep,rocks,partly,overgrown,trees,foot,men,work,top,left,mountain,castle,right,river,flows,valley"
20,"summer,represented,putti,playing,sickle,cornstalks,harvested,fruit,part,series,seasons,sk,a-3231/3233,possibly,dessus,de,-,porte"
21,"episode,naval,battle,sound,dutch,swedish,fleets,november,left,group,dutch,warships,including,eendracht,foreground,sinking,swedish,ship,crew,tries,save"
22,"drinking,farmers,barn,seated,figures,table,left,standing,farmer,jug,hand"
23,"portrait,henry,lorraine,duke,guise,bust,right,facing,part,portrait,miniatures,collection"
24,"portrait,man,bust,slightly,right,part,portrait,miniatures,collection"
25,"portrait,jochem,hendricksz,swartenhont,lieutenant,admiral,holland,husband,elisabeth,bas,hip,piece,standing,right,fist,leaning,table,left,arm,side,chest,sash,necklace,portrait,medallion"
26,"woman,island,kythnos,thermia,standing,full,length,front,wall"
27,"landscape,fisherman,cross,net,pond,forest,fisherman,pulls,net,water,foreground,peddler,seated,woman,large,tree"
28,"portrait,martinus,alewijn,son,abraham,alewijn,geertruid,hooftman,shepherd,sitting,tree,dog,staff,couple,sheep,right,pendant,sk,a-1311"
29,"shelling,palembang,sumatra,june,dutch,fleet,dutch,warships,lie,coast,sumatra,ships,sloops,sail"
30,"portrait,seated,man,perhaps,self,portrait,govert,dircksz,camphuysen"
31,"still,life,dead,roosters,hanging,legs,wall"
32,"view,harbor,full,barges,smoke,rises,ship,left,seagulls,fly,water"
33,"portrait,elisabeth,vervoorn,second,wife,johannes,van,someren,sitting,half,length,gloves,right,hand,hands,lap,pendant,sk,a-3857"
34,"portrait,reinier,vinkeles,draftsman,plate,cutter,bust,sitting,table,sketchbook,picture,book,rolled,sheet,paper,drawing,print,right,hand,copper,drawing,pen,engraving,pen"
35,"mary,child,saints,church,interior,mary,christ,child,middle,book,seated,raised,throne,left,saints,catherine,francis,john,baptist,right,saints,mary,magdalene,anthony,padua,john,evangelist,step,front,throne,glass,vase,few,flowers,clusters,fruit,hang,corners,throne"
36,"young,woman,sitting,tree,sunset,called,autumn"
37,"portrait,adriaen,pietersz,van,de,venne,painter,poet,bust,oval,right,table,ink,set,note,saying,ik,soek,vind,part,collection,portraits,dutch,poets"
38,"shooters,piece,meal,amsterdam,archers,rot,l,known,poseters,shooters,kloveniersdoelen,eat,fish,bread"
39,"interior,family,celebrates,feast,saint,nicholas,middle,girl,john,baptist,doll,bucket,candy,arms,left,crying,boy,got,rod,shoe,next,mother,outstretched,arms,laughing,boy,flask,floor,basket,cakes,rolls,chimney,young,people,singing,sinterklaas,song,background,elderly,man,woman"
40,"portrait,bartolomeo,andrio,walsdorffer,-1622,captain,company,swiss,distribution,friesland,killed,action,bergen,op,knee,piece,standing,right,hand,resting,stick,left,hand,side"
41,"portrait,cornelis,bruyn,draftsman,traveller,bust,face,left,arm,front,abdomen"
42,"cheerful,company,outside,terrace,front,inn,left,men,table,holds,glass,middle,old,man,plays,lyre,boy,plays,flute,right,woman,child,lap,barking,dog"
43,"portrait,francesco,giamberti,da,sangallo,architect,musician,father,giuliano,sangallo,bust,profile,left,background,landscape,bottom,performance,plinth,sheet,music,part,sk,c-1368,diptych"
44,"portrait,jacob,cats,grand,pensionary,holland,west,friesland,poet,bust,right"
45,"portrait,wilhelmina,hillegonda,schuyt,wife,joachim,rendorp,bust,right,stone,window,pendant,sk,a-2420"
46,"portrait,man,bust,right,part,portrait,miniatures,collection"
47,"adoration,child,mary,kneels,adoration,christ,child,child,stretches,arms,mother,angel,holds,head,child,angel,puts,hands,shoulders,young,john,baptist,right,lean,to,stable,joseph,kneels"
48,"entrance,farm,woman,pitcher,stands,well,right,boy,dog,ground,well,large,earthenware,pot,are,cauliflowers,turnips,cucumbers,cat,sleeping,shed"
49,"portrait,hendrik,van,der,zande,law,scholar,dramatist,amsterdam,bust,oval,right,unfinished,part,collection,portraits,dutch,poets"
50,"cemetery,baden,baden,mountain,landscape,small,funeral,procession,way,cemetery,left,trees,waterfall,foreground"
51,"portrait,guilliam,courten,born,husband,margarita,cassier,bust,right,back,family,coat,arms,inscription,number"
52,"imaginary,harbor,crack,dawn,right,roman,triumphal,arch,based,arco,degli,argentieri,rome,travelers,triumphal,arch,sailing,ship,yellow,flags,masts,left,round,tower,based,tower,castle,tivoli,ships,background,ancient,city,pyramid,buildings,decorated,statues,foreground,left,boat,talking,men,man,carrying,barrel,back,sleeping,man,walking,stick,next,horizon,background,island,middle,plan,rowing,boat,men"
53,"emperor,napoleon,staff,horseback,landscape,where,battle,rages,distance"
54,"adoration,shepherds,shepherds,gathered,lighted,manger,mary,lifts,sheet,christ,child,lies,stable,angels,look,heaven,pendant,sk,a-2223"
55,"still,life,fruits,flowers,table,middle,bunches,white,blue,grapes,front,bowl,strawberries,peaches,apricots,vines,fruit,bouquet,poppies,lots,greenery,right,tall,glass,lid"
56,"portrait,year,old,man,bust,left,facing,viewer,part,portrait,miniatures,collection"
57,"eagles,rocks,tear,duck"
58,"town,square,quack,sitting,horse,front,billboard,advertising,screens,touts,truth,crowd,curious,people,gathered,front,stable,left,knife,sharpener,spectators,pickpocket,right,rat,poison,seller,background,right,man,woman,street,school,reading,group,listeners,left,painting,shop"
