,text,image_paths
0,points into traffic,./data/final_images/0.jpg
1,missing tactile warning,./data/final_images/1.jpg
2,narrow points into traffic,./data/final_images/2.jpg
3,missing tactile warning steep,./data/final_images/3.jpg
4,missing tactile warning,./data/final_images/4.jpg
5,grass,./data/final_images/5.jpg
6,grass,./data/final_images/6.jpg
7,missing tactile warning narrow,./data/final_images/7.jpg
8,missing tactile warning narrow,./data/final_images/8.jpg
9,needed to cross street can use nearby driveway alternate route present,./data/final_images/9.jpg
10,parked car,./data/final_images/10.jpg
11,grass,./data/final_images/11.jpg
12,grass,./data/final_images/12.jpg
13,grass,./data/final_images/13.jpg
14,grass,./data/final_images/14.jpg
15,missing tactile warning narrow,./data/final_images/15.jpg
16,missing tactile warning narrow,./data/final_images/16.jpg
17,grass narrow sidewalk,./data/final_images/17.jpg
18,street has no sidewalks,./data/final_images/18.jpg
19,street has no sidewalks,./data/final_images/19.jpg
20,street has no sidewalks,./data/final_images/20.jpg
21,vegetation,./data/final_images/21.jpg
22,narrow sidewalk,./data/final_images/22.jpg
23,street has no sidewalks,./data/final_images/23.jpg
24,street has no sidewalks,./data/final_images/24.jpg
25,street has no sidewalks,./data/final_images/25.jpg
26,street has no sidewalks,./data/final_images/26.jpg
27,street has no sidewalks,./data/final_images/27.jpg
28,street has no sidewalks,./data/final_images/28.jpg
29,street has no sidewalks,./data/final_images/29.jpg
30,street has no sidewalks,./data/final_images/30.jpg
31,street has no sidewalks,./data/final_images/31.jpg
32,street has no sidewalks,./data/final_images/32.jpg
33,uneven slanted,./data/final_images/33.jpg
34,points into traffic,./data/final_images/34.jpg
35,street has a sidewalk,./data/final_images/35.jpg
36,street has a sidewalk,./data/final_images/36.jpg
37,no alternate route,./data/final_images/37.jpg
38,grass,./data/final_images/38.jpg
39,cracks,./data/final_images/39.jpg
40,grass,./data/final_images/40.jpg
41,hard to know if wheelchair user could maneuver around pole,./data/final_images/41.jpg
42,mailbox,./data/final_images/42.jpg
43,trash recycling can,./data/final_images/43.jpg
44,pole,./data/final_images/44.jpg
45,bumpy cracks,./data/final_images/45.jpg
46,missing tactile warning not level with street,./data/final_images/46.jpg
47,missing tactile warning not level with street,./data/final_images/47.jpg
48,missing tactile warning,./data/final_images/48.jpg
49,missing tactile warning,./data/final_images/49.jpg
50,missing tactile warning,./data/final_images/50.jpg
51,missing tactile warning,./data/final_images/51.jpg
52,cracks,./data/final_images/52.jpg
53,bumpy,./data/final_images/53.jpg
